#--- Experiment --------------------------------------------------------------------------																																											
#oxy_big1percentblood																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																																											
#PHY-0625-PCL																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A Int. T1] - Fixed Temperature																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-07-2025	15:54:32.478	0.039	195.553	20.153	188	-1	OK	11-07-2025	15:54:32.478	0.039	28.800	OK	11-07-2025	15:54:32.478	0.039	1017	OK	11-07-2025	15:54:32.753	0.315	NaN	176.657	2	4	OK	11-07-2025	15:54:32.753	0.315	NaN	OK	11-07-2025	15:54:32.753	0.315	1017	OK	11-07-2025	15:54:32.452	0.014	NaN	OK			
11-07-2025	15:54:32.979	0.541	196.539	20.098	188	0	OK	11-07-2025	15:54:32.979	0.541	28.800	OK	11-07-2025	15:54:32.979	0.541	1017	OK	11-07-2025	15:54:33.755	1.317	NaN	-177.447	1	4	OK	11-07-2025	15:54:33.755	1.317	NaN	OK	11-07-2025	15:54:33.755	1.317	1017	OK	11-07-2025	15:54:33.452	1.014	NaN	OK			
11-07-2025	15:54:33.479	1.040	195.750	20.142	188	-1	OK	11-07-2025	15:54:33.479	1.040	28.800	OK	11-07-2025	15:54:33.479	1.040	1017	OK	11-07-2025	15:54:34.755	2.316	NaN	179.499	1	4	OK	11-07-2025	15:54:34.755	2.316	NaN	OK	11-07-2025	15:54:34.755	2.316	1017	OK	11-07-2025	15:54:34.453	2.015	NaN	OK			
11-07-2025	15:54:33.979	1.540	195.857	20.136	188	0	OK	11-07-2025	15:54:33.979	1.540	28.800	OK	11-07-2025	15:54:33.979	1.540	1017	OK	11-07-2025	15:54:35.753	3.315	NaN	-175.202	1	4	OK	11-07-2025	15:54:35.753	3.315	NaN	OK	11-07-2025	15:54:35.753	3.315	1017	OK	11-07-2025	15:54:35.454	3.016	NaN	OK			
11-07-2025	15:54:34.480	2.042	196.197	20.117	188	0	OK	11-07-2025	15:54:34.480	2.042	28.800	OK	11-07-2025	15:54:34.480	2.042	1017	OK	11-07-2025	15:54:36.753	4.315	NaN	178.453	1	4	OK	11-07-2025	15:54:36.753	4.315	NaN	OK	11-07-2025	15:54:36.753	4.315	1017	OK	11-07-2025	15:54:36.452	4.013	NaN	OK			
11-07-2025	15:54:34.980	2.542	196.197	20.117	188	0	OK	11-07-2025	15:54:34.980	2.542	28.800	OK	11-07-2025	15:54:34.980	2.542	1017	OK	11-07-2025	15:54:37.753	5.314	NaN	-173.246	2	4	OK	11-07-2025	15:54:37.753	5.314	NaN	OK	11-07-2025	15:54:37.753	5.314	1017	OK	11-07-2025	15:54:37.454	5.016	NaN	OK			
11-07-2025	15:54:35.480	3.042	197.006	20.072	188	0	OK	11-07-2025	15:54:35.480	3.042	28.800	OK	11-07-2025	15:54:35.480	3.042	1017	OK	11-07-2025	15:54:38.756	6.317	NaN	-177.699	2	4	OK	11-07-2025	15:54:38.756	6.317	NaN	OK	11-07-2025	15:54:38.756	6.317	1017	OK	11-07-2025	15:54:38.455	6.017	NaN	OK			
11-07-2025	15:54:35.981	3.542	195.750	20.142	189	0	OK	11-07-2025	15:54:35.981	3.542	28.800	OK	11-07-2025	15:54:35.981	3.542	1017	OK	11-07-2025	15:54:39.756	7.317	NaN	-173.834	1	4	OK	11-07-2025	15:54:39.756	7.317	NaN	OK	11-07-2025	15:54:39.756	7.317	1017	OK	11-07-2025	15:54:39.457	7.018	NaN	OK			
11-07-2025	15:54:36.482	4.044	195.821	20.138	189	0	OK	11-07-2025	15:54:36.482	4.044	28.800	OK	11-07-2025	15:54:36.482	4.044	1017	OK	11-07-2025	15:54:40.755	8.317	NaN	176.404	1	4	OK	11-07-2025	15:54:40.755	8.317	NaN	OK	11-07-2025	15:54:40.755	8.317	1017	OK	11-07-2025	15:54:40.456	8.018	NaN	OK			
11-07-2025	15:54:36.982	4.544	196.323	20.110	189	-1	OK	11-07-2025	15:54:36.982	4.544	28.800	OK	11-07-2025	15:54:36.982	4.544	1017	OK	11-07-2025	15:54:41.755	9.317	NaN	-175.116	1	4	OK	11-07-2025	15:54:41.755	9.317	NaN	OK	11-07-2025	15:54:41.755	9.317	1017	OK	11-07-2025	15:54:41.456	9.018	NaN	OK			
11-07-2025	15:54:37.482	5.044	195.607	20.150	189	0	OK	11-07-2025	15:54:37.482	5.044	28.800	OK	11-07-2025	15:54:37.482	5.044	1017	OK	11-07-2025	15:54:42.756	10.318	NaN	-176.135	1	4	OK	11-07-2025	15:54:42.756	10.318	NaN	OK	11-07-2025	15:54:42.756	10.318	1017	OK	11-07-2025	15:54:42.454	10.016	NaN	OK			
11-07-2025	15:54:37.984	5.545	195.911	20.133	189	0	OK	11-07-2025	15:54:37.984	5.545	28.800	OK	11-07-2025	15:54:37.984	5.545	1017	OK	11-07-2025	15:54:43.757	11.318	NaN	179.955	1	4	OK	11-07-2025	15:54:43.757	11.318	NaN	OK	11-07-2025	15:54:43.757	11.318	1017	OK	11-07-2025	15:54:43.457	11.019	NaN	OK			
11-07-2025	15:54:38.483	6.045	196.574	20.096	189	0	OK	11-07-2025	15:54:38.483	6.045	28.800	OK	11-07-2025	15:54:38.483	6.045	1017	OK	11-07-2025	15:54:44.761	12.322	NaN	-170.028	2	4	OK	11-07-2025	15:54:44.761	12.322	NaN	OK	11-07-2025	15:54:44.761	12.322	1017	OK	11-07-2025	15:54:44.457	12.019	NaN	OK			
11-07-2025	15:54:38.983	6.545	196.269	20.113	189	0	OK	11-07-2025	15:54:38.983	6.545	28.800	OK	11-07-2025	15:54:38.983	6.545	1017	OK	11-07-2025	15:54:45.760	13.322	NaN	-179.903	1	4	OK	11-07-2025	15:54:45.760	13.322	NaN	OK	11-07-2025	15:54:45.760	13.322	1017	OK	11-07-2025	15:54:45.455	13.017	NaN	OK			
11-07-2025	15:54:39.483	7.044	200.045	19.905	157	0	OK	11-07-2025	15:54:39.483	7.044	28.800	OK	11-07-2025	15:54:39.483	7.044	1017	OK	11-07-2025	15:54:46.758	14.320	NaN	-174.010	2	4	OK	11-07-2025	15:54:46.758	14.320	NaN	OK	11-07-2025	15:54:46.758	14.320	1017	OK	11-07-2025	15:54:46.457	14.019	NaN	OK			
11-07-2025	15:54:39.983	7.545	201.428	19.830	156	0	OK	11-07-2025	15:54:39.983	7.545	28.800	OK	11-07-2025	15:54:39.983	7.545	1017	OK	11-07-2025	15:54:47.760	15.321	NaN	-168.975	2	3	OK	11-07-2025	15:54:47.760	15.321	NaN	OK	11-07-2025	15:54:47.760	15.321	1017	OK	11-07-2025	15:54:47.458	15.020	NaN	OK			
